,User,Date Created,Language,Number of Likes,Source of Tweet,Tweet
0,dna,2022-11-20 04:41:24+00:00,en,6,Twitter Web App,"Elon Musk is reportedly considering firing additional Twitter employees, focusing on company's sales and partnership division, following the widespread resignations of engineers on Thursday

https://t.co/fOOmZu2ZEk

#TwitterLayoffs | #Twitter | #ElonMusk #ElonMuskTakeover https://t.co/U7bN54Eg0L"
1,americain007,2022-11-17 12:06:59+00:00,en,0,Twitter for iPhone,My first tweet since #elonmusktakeover idk this guy seems to be a #disrupter lol. Anyways when you just #workandgohome you just don’t have shit to talk about lol
2,AdaKohli,2022-11-14 09:48:35+00:00,en,1,Twitter Web App,Is it just me or is everyone else's Twitter feed also getting boring after #elonmusktakeover ?
3,dellyranksindia,2022-11-12 05:21:50+00:00,en,0,FS_Poster_App,"Twitter Blue signups unavailable after wave of fake accounts #elilillyco #elonmusk #ElonMusktakeover #spacex #Tesla #Twitter #TwitterBluesubscription #twitterlayoff #twitterofficialaccount #twitterproblems https://t.co/oJhREtrnyQ
https://t.co/VEqVp75RW4"
4,EDTimesOfficial,2022-11-08 07:47:50+00:00,en,0,Twitter for Android,"Twitter ex-#employees share #stories of #entire #teams getting #wiped out across the #world. To know more read @chirali_08's article linked down below

https://t.co/1vyKJ2kbEm

#ElonMusk #elontwitter #Twitternews #twitterdeal #ElonMusktakeover #twitterfire @Twitter @elonmusk"
5,UiTV_Connect,2022-11-07 06:24:54+00:00,en,1,Twitter Web App,"Gigi Hadid quits Twitter as it's not 'safe place' after Elon Musk takeover
#GigiHadid #Twitter #ElonMusk #Twitterisnotsafeplace #ElonMusktakeover 
https://t.co/fd6eePInZm"
6,akemmapapa,2022-11-05 22:30:36+00:00,en,0,Twitter for iPhone,#JackDorsey: #Twittercofounder #breakssilence on #ElonMusktakeover - BBC News https://t.co/qpGf8pwfuQ
7,az_garden2007,2022-11-05 11:20:11+00:00,en,0,Twitter for Android,"This may be my last weekend on Twitter...mulling things over the next few days.  Twitter is even more divisive since the #ElonMuskTakeover. 
#TwitterLayoffs"
8,madhyamam_eng,2022-11-02 05:56:03+00:00,en,0,Hocalwire Social Share,"After Musk's takeover, more key executives leaving, including Twitter's CMO #Twitter #Elonmusktakeover https://t.co/zMO5AMv2KZ"
9,GidgetsBus,2022-11-01 01:26:08+00:00,en,0,Twitter for iPhone,"New Twitter feature? Half of the items in my feed have the retweet, reply, etc. links greyed out. #nofreebird #elonmusktakeover"
10,PsychoAape,2022-10-29 16:11:37+00:00,en,1,Twitter for Android,@fishyfisheth they are jumping! Was doing some running #withmyDog &amp; was amazed on how many fish was jumping !  #LFG  #Fishingsoundsawesome  #ApocalypticApesfitness  #ElonMuskTakeOver  #ApocalypticApesBait? https://t.co/ptIZ2OmK1V
11,navinjoshi1947,2022-10-29 11:41:17+00:00,en,0,Twitter for iPhone,@vijaya Karma boomeranged with vengeance - how’s the josh after eventful #ElonMuskTakeover? #HappyDiwali 🪔💐🕉️🇮🇳🙏
12,novaxnomask,2022-10-28 09:19:39+00:00,en,2,Twitter for iPhone,"When I open Twitter I don't have leftist bullshit from people I don't even follow at the top of my feed anymore.

It's amazing how quickly that changed!

#ElonMuskTakeover"
13,number1joker_,2022-10-28 09:15:11+00:00,en,1,Twitter for iPhone,"I can see a massive change coming on Twitter, all the fake accounts and bots will disappear, my god what will all these fakes celebs that bump there status up do 😂😂 #ELONMUSK #ElonMuskTakeOver"
14,daniKlass,2022-10-28 03:56:29+00:00,en,0,Twitter for iPhone,Elon Musk the official owner of Twitter and now cleaning house! #ELONMUSK #elonmusktwitter #elonmusktakeover https://t.co/pArTscwT2J
15,daniKlass,2022-10-26 21:47:23+00:00,en,7,Twitter for iPhone,Congrats Elon! 👏🏻  #ELONMUSK #Elonbuystwitter #elonmusktakeover https://t.co/8rhm8Hzq1V
16,LisaE333,2022-10-26 21:09:21+00:00,en,1,Twitter for iPhone,Let The Positive Changes Begin ! #ElonMuskTakeOver https://t.co/II3kkso548
17,nicolesandler,2022-10-26 20:47:01+00:00,en,3,TweetDeck,"OK, in advance of losing this place due to #ElonMuskTakeover, I just registered an account at https://t.co/TZOsQbR76r. So far, it looks pretty good. Come join me over there!"
18,Simms7_7,2022-10-10 09:52:05+00:00,en,1,Twitter for iPhone,Just want everyone to know that as soon as Elon Musks take over twitter is completed I will be leaving the platform for good as we all know why he is doing it and the platform will become one of hate and Donald Trump supporting Racists. #ElonMusktakeover
19,88Lucien88,2022-10-08 12:42:47+00:00,en,0,Twitter Web App,"#ElonMuskTakeover has delivered the final blow to freedom of expression, and through it to our Democracy. 
WEF and their hunting dogs #BigTech and #BigPharma now control the Universe. 
Who will stop them?＼⁠(⁠°⁠o⁠°⁠)⁠／

@lexfridman"
20,TR_Sreejith,2022-05-19 13:39:26+00:00,en,0,Twitter Web App,Twitter should have some self respect and walk out of the deal.#elonmusktakeover
21,madhyamam_eng,2022-05-13 12:02:20+00:00,en,0,Hocalwire Social Share,Twitter shares plunges as $44 billion deal put 'on hold' #Twitter #ElonMusk #Elonmusktakeover https://t.co/hxhC1cQQr9
