,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,bezjajas,2022-11-27 10:21:19+00:00,0,Twitter for Android,@elonmusk @CollinRugg So #twitter employees were actually just censoring and monitoring free speech? The worst propaganda outlet in modern times. A cancelling machine.. A #Democracy killer that intervened in elections. Thank you #Musk for saving us all from the Pink Sky Fascists.. #thankyoumusk
1,jenny_kjacobs,2022-11-21 04:27:09+00:00,4,Twitter Web App,"@realDonaldTrump Please dont use #TruthSocial.. Use Twitter! We all are waiting for you. 

#MAGA #trumpisback #ThankYouMusk

@patriotjohn2020 @DatoFreddy @DayDreamin1830 @patr1ot_p @NotLordByron @Byron_Wan @marburell @crawfishaka @monnj6"
2,Jeannie71147068,2022-11-19 23:24:12+00:00,1,Twitter Web App,"@TimRunsHisMouth @GerryCallahan The Babylon Bee is back on twitter and CBS has left Twitter.  For that Musk should get the Nobel Prize. 

#ThankYouMusk"
3,punkgoku84,2022-11-13 21:06:46+00:00,0,Twitter Web App,"@elonmusk I can tweet again, knowing that cancel culture doesn't have power anymore. The true spirit of Twitter as a digital town square where people are free to share ideas and have civil debates without it being the end of the world. #ThankYouMusk"
4,mizutama_kanna,2022-11-12 12:35:42+00:00,0,Twitter for iPhone,"Thank you for freezing 8 spam accounts!  appreciate!
#thankyoumusk https://t.co/e94nHVQdzg"
5,soonerocky,2022-11-12 10:00:14+00:00,0,Twitter for Android,"@TulsaTeresa Maybe you need to go visit. #Thankyoumusk
#FreeSpeech"
6,koehr_in,2022-11-12 00:52:00+00:00,0,Moa Bridge,More than a tenth of the people I followed on Twitter are in the #fediverse now! Welcome all! #thankyoumusk
7,omar_Reel_king_,2022-11-10 22:59:07+00:00,0,Twitter for iPhone,Twitter is dope #thankyoumusk #FYP #yea #foryoupage #foryou #wow #funtweets
8,WomanNoun,2022-11-10 04:44:48+00:00,0,Twitter Web App,"@BallsackSports @elonmusk What is a mickey mouse billionaire and why would the top billionaire be nicknamed mickey mouse. So many questions.

#NewTwitter #ThankYouMusk"
9,eddydantes024,2022-11-08 14:32:23+00:00,0,Twitter for iPhone,To the mooooooooon!!!! #doge #hodl #thankyoumusk #ToTheMoon @elonmusk https://t.co/xNzvtfoIXd
10,RobertM49657110,2022-11-07 06:06:33+00:00,3,Twitter Web App,Ethan Klein aka Ethan Decline has finally been banned from Twitter. #Thankyoumusk https://t.co/bZFRYJB964
11,nolumpybutts,2022-11-05 02:41:08+00:00,0,Twitter for iPhone,@elonmusk Thank you! #thankyoumusk Please hire me!!! #pleasehireme
12,mac_anderson17,2022-11-03 09:33:08+00:00,2,Twitter for iPhone,I’m going to pay for my verification badge and I’m proud of it 💪🏻💦 #thankyoumusk #hustle
13,ShayFarrell13,2022-10-30 18:45:50+00:00,0,Twitter for iPhone,"@robreiner He’s riding the 10,000 ft. RED WAVE!!!  YAY!!! #ThankYouMUSK"
14,punkgoku84,2022-10-30 01:14:34+00:00,0,Twitter Web App,#ThankYouMusk For making Twitter better again
15,YzeLyfeStyle,2022-10-29 22:33:06+00:00,0,Twitter Web App,"Since musk bought twitter i can proudly say without getting deleted  ……Fuck y’all faggits🖕🏾🖕🏾🖕🏾🖕🏾🖕🏾 And the rainbow y’all slid in on 
#Thankyoumusk"
16,Lucasthegrimmmm,2022-10-28 20:37:04+00:00,0,Twitter for iPhone,"I opened a Twitter account today👍
Facebook bans me anytime I say anything it’s just ridiculous , even though I don’t understand Twitter and it’s not massive in australia like Facebook and none of my friends are on it , this is way better.
#thankyoumusk @elonmusk #myfirstTweet"
17,GatorRon12,2022-10-28 19:50:42+00:00,1,Twitter Web App,Elon Musk should purchase the Federal Biden Investigators and sack them as well. @elonmusk #freedom #liberty #ThankyouMusk
18,Rudi22755514,2022-10-28 07:33:01+00:00,0,Twitter Web App,"The #Indian #Twitter mafia management is falling apart 🤣
#ThankYouMusk
https://t.co/mgpF5MSJRN"
19,StampleElliott,2022-10-28 05:17:46+00:00,8,Twitter Web App,@anildash More division. Hopefully the far left and far right will relax and allow us moderates to be allowed to have conversations. #thankyoumusk
20,subatomicsnake,2022-10-28 03:17:02+00:00,2,Twitter for iPhone,Trump is back! #thankyoumusk #ELONMUSK #supermaga #maga #trump https://t.co/ciVygwnpSj
21,hyde_geoff,2022-05-09 22:35:16+00:00,0,Twitter for iPhone,"#thankyoumusk
Elon has done good (again) for Ukraine and is now a targeted man. “Musk tweeted out information provided by Dmitry Rogozin, the head of the Russian space agency Roscosmos, to the Russian media on Sunday night” saying Musk must die for helping Nazis. Putin must end!"
22,peaceforart,2022-05-09 13:30:47+00:00,0,Twitter for iPhone,"January 25, 2022 https://t.co/SvrhoJERVs via @YouTube @usopengolf  @TheMasters @peaceforart #ThankyouMusk"
23,Harsh30103,2022-04-29 05:34:15+00:00,0,Twitter Web App,"@elonmusk sir you should purchase Facebook, they use to promote their own thoughts and censer our comments if we reply any other comments on my country or people 
#thankyoumusk"
24,mahiteja022,2022-04-28 03:12:35+00:00,0,Twitter for iPhone,@elonmusk Yaaaassssssss……. Fuuuuuuuuu…….nnnnnnn…… that why some people like me are on #Twitter who don’t have any political ideology or fancy commentry on burning issues we are here for fun. #ThankYouMusk
25,ElijahMalmay,2022-04-26 18:46:45+00:00,0,Twitter for iPhone,Soooo…. Twitter is it now? #ThankYouMusk
26,contraismos,2022-04-25 20:47:34+00:00,0,Twitter for iPhone,"Obrigado sr @elonmusk 
Thank you very much!
#thankyoumusk #freedow #freedowmusk #freedowtwitter https://t.co/EAQJlXOc5Y"
27,21dreamz,2022-04-10 21:26:53+00:00,0,Twitter for iPhone,Doge coin is now destined to be an in app currency for things you don’t need 😁 #ThankyouMusk
28,Antonio_Sirpix,2022-04-04 17:08:50+00:00,1,Twitter Web App,@elonmusk #ThankYouMusk now buy WWE lol
29,Neeick,2022-02-07 02:44:37+00:00,2,Twitter for Android,@zerohedge Finally something to persuade my wife from leaving me. #thankyoumusk
30,Abhi_Mahbubani,2021-07-01 09:00:47+00:00,3,Twitter for iPhone,"legend 🤣🔥 got out at 20% within 3 minutes 

#ThankYouMusk https://t.co/cluNG1qKY3"
31,SkolGuru_eth,2021-04-17 00:28:47+00:00,0,Twitter for Android,@elonmusk is the greatest #rolemodel we could possible have! Taking #Doge to the moon is just the Icing on the Cake! #thankyouMusk @MattWallace888 @itsALLrisky @dogecoin
32,OneOfBs,2021-01-28 23:59:50+00:00,1,Twitter for iPhone,Dogecoin+Portfolio=🚀 #ThankYouMusk https://t.co/iyB6X6H3Z2
33,trbarbour,2021-01-21 04:36:43+00:00,0,Twitter for Android,Woo-hoo! The count down is on! @elonmusk @SpaceX #byebyetelus #thankyoumusk https://t.co/yGdLo1Y70C
34,Cruz316,2020-08-26 17:38:23+00:00,0,Twitter for Android,Question for @elonmusk and @Tesla .... Why doesn't any #Tesla models have a solar panel on the roof of there cars??? For people who don't have charging stations around there home???? The cars can charge while parked???? #thankyoumusk
35,AmeriCannaBlunt,2018-10-20 13:27:59+00:00,0,Twitter Web Client,I LOVE THIS GUY #MyHero Best Deal Ever !! #THANKYOUMUSK #SaveTheKids You did very #Good #BlessUsAll .
36,JeyJohJerry,2018-03-02 18:00:57+00:00,0,Twitter for iPhone,@elonmusk you gonna save the humane and our hole society! #ThankYouElon #ThankYouMusk
37,afasky,2018-02-05 22:51:55+00:00,0,Twitter Web Client,@elonmusk Let the Starman in your Tesla Roadster have a great trip tomorrow. #ElonMusk #thankyoumusk
38,Milton8888,2017-10-30 15:33:36+00:00,0,Twitter Web Client,@verge AMAZING! how in the world didn't you need paper towels.... #THANKYOUMUSK
