,User,Date Created,Language,Number of Likes,Source of Tweet,Tweet
0,KathJohnsonArt,2022-11-25 12:32:04+00:00,en,1,Twitter for iPhone,I marked #TwitterBlackout on my calendar for today?
1,TheMrEstiverne,2022-11-24 23:29:01+00:00,en,0,Twitter for iPhone,"When the man said he was going to do something, I believed him, and since day One, I’ve signed up with @fanbaseapp I’ve never been disappointed. People need to go check out Fanbase, if not, you’re missing out. #TwitterBlackOut"
2,colourmesadder,2022-11-23 04:50:04+00:00,en,13,Twitter for iPhone,We should do a Twitter blackout to own the libs #twitterblackout
3,SiljaJATalvi,2022-11-22 13:25:47+00:00,en,0,Twitter for iPhone,"@W_Asherah I predicted as much. The hate will seep at first, and then it will flood. Join me using December 1 as #TwitterBlackout day (for those of us still here protesting.) No posting, reading, nothing. After that, make any decision you want. A racist platform can’t be supported."
4,idesancho,2022-11-19 18:15:34+00:00,en,0,Twitter Web App,Come on. Let’s help the #Twitterblackout with a collective massive disconnection of accounts by #1december We can all help making Twitter go belly up!! 🥸 or maybe Elon and his buttkissers ban me first? I kind of like to die fighting for a good cause.
5,Machine_s_job,2022-11-18 23:56:21+00:00,en,0,Twitter for Android,"#TwitterOFF
#TwitterBlackout

1 Buy data
2 Blackout systems
3 Merge new software  &amp; parameters
4 Rename
5 Restore services

#Soon"
6,rachellm23,2022-11-18 12:06:20+00:00,en,2,Twitter for iPhone,lovely 11 years x  #TwitterDown #TwitterBlackout https://t.co/pYdrUYI3C0
7,HelloVado,2022-11-18 09:23:00+00:00,en,0,Twitter Web App,"i could relate to elon if he did a #TwitterBlackout to show everyone how important twitter is to the world and make the community appreciate the space and environment they have to share their expression and creativity.

yeah, i could relate. #HSBlackout"
8,pnf_phytrade,2022-11-18 03:29:40+00:00,en,0,Twitter for iPhone,"The ending is so spooky! 

#TwitterBlackout"
9,david_piland,2022-11-12 16:58:02+00:00,en,0,Twitter for Android,@draiochta14 I've actually proposed a day of Twitter blackout to protest what Elon and others are doing I realize it might take millions of followers but #twitterblackout could be a thing
10,Chaosinflux,2022-11-11 22:17:53+00:00,en,0,Twitter for Android,A one day Twitter blackout sounds fun. #TwitterBlackout
11,idontgethowthis,2022-11-11 03:55:06+00:00,en,2,Twitter Web App,"@peevee55 @HeatherThomasAF @keepthefaith611 It would be nice to have a 24 hour boycott.

Just to see if we could do it. Total shut down.  No tweets.  We just need a good day and someone with some Moxie that can get people motivated.

#TwitterBlackout"
12,david_piland,2022-11-11 02:16:50+00:00,en,1,Twitter Web App,Touch some grass. #TwitterBlackout
13,OhFFS100,2022-11-11 02:07:11+00:00,en,4,Twitter for iPhone,@MichelleSedill2 @david_piland @RpsAgainstTrump Touch some grass. #TwitterBlackout
14,MichelleSedill2,2022-11-11 01:51:48+00:00,en,21,Twitter for iPhone,@david_piland @RpsAgainstTrump This is a great idea #TwitterBlackout
15,JohnnyAkzam,2022-11-07 07:23:04+00:00,en,2,Twitter Web App,How are you going to spend the #TwitterBlackout? https://t.co/oRbYG4fACi
16,ArtistCathayD,2022-11-05 00:10:03+00:00,en,1,Twitter for iPhone,"The Day After Midterms
(NOV 9th)  is 
#TWITTERBLACKOUT Day . 

We must show Twitter that we will not tolerate HATE, ANTI-SEMITISM, &amp; RACISM on their platform! 

DEACTIVATE your account from 9AM-9PM.   #Retweet"
17,maritzac,2022-11-04 21:52:36+00:00,en,3,Twitter for iPhone,We should strike. One day without twitter. #TwitterBlackout
18,WestsideRedhead,2022-11-04 16:33:25+00:00,en,1,Twitter Web App,@elonmusk is most heartless boss ever. Worse than my worst when I was a teenage waitress in a Truck Stop. Proposing a #Twitter black out.  Anyone else know of a #TwitterBlackout planned? Yay @UTAW_uk
19,HansZauner,2022-11-04 10:46:21+00:00,en,3,Twitter Web App,@fMRI_guy Prediction: After #TwitterLayoffs there will be #twitterblackout.
20,Pinkgirlhaze1,2022-11-02 16:49:45+00:00,en,1,Twitter for iPad,@kozloski_mary I can definitely do it but would it be effective. #Twitterblackout
21,TavelnTilly,2022-11-02 15:28:15+00:00,en,1,Twitter for Android,@JRubinBlogger Someone had an interesting idea...let's have a #Twitterblackout on Black Friday  @ltgrusselhonore @womensmarch @davidhogg111
22,TavelnTilly,2022-11-02 15:22:02+00:00,en,1,Twitter for Android,@kozloski_mary Oh yes #twitterblackout
23,roxyw,2022-10-28 03:19:33+00:00,en,0,Twitter for iPad,"Is anyone talking about a blackout, day of no Tweets… just to show that we’re watching closely, and if this goes sideways then there’s no audience? #TwitterTakeover  #TwitterBlackout #Protest"
24,DonniesRichonne,2022-10-27 13:54:27+00:00,en,4,Twitter Web App,Okay so when are we all doing blackout week on Twitter? #twitterblackout
25,CaseyPregent1,2022-10-21 13:15:02+00:00,en,1,Twitter for Android,"If Musk buys Twitter and seriously fires 75% of the employees, my account will go black. 

I will not help Elon make money. Anyone know of any other social media platforms, besides parlor?

#Twitterblackout
#StopElon"
26,nucleus34,2022-09-05 01:29:56+00:00,en,0,Twitter Web App,"Get rid of the #Twitter #Bots
#TwitterBlackout"
27,nucleus34,2022-09-05 01:26:24+00:00,en,0,Twitter Web App,"Blacking out #Twitter until I notice most of the #Bots are completely gone 🥱
#TwitterBlackout"
28,kascnef82,2022-07-14 18:51:26+00:00,en,0,Twitter Web App,where were u during the #twitterblackout
29,SilentTiger777,2022-07-14 17:13:54+00:00,en,3,Twitter for iPhone,"I wonder how many high school kids with computer skills @elonmusk hired to #DDoS @Twitter because of his failed deal with them? 🤔💭🙄

Do you think he’s behind #Twitter being down? Or nah? 🧐💭 #TwitterDown #TwitterOutage #TwitterBlackout #InternetDown #TWICE 🤡🙄🫥🙄🫡🥴"
30,SilentTiger777,2022-07-14 13:45:31+00:00,en,2,Twitter for iPhone,"Bruh I just found a SCARY looking map on https://t.co/6qUuIlMZ1b

It literally looks like we’re in a nuclear cyberwar right now… The Japanese area keeps taking the most hits. #TwitterDown #TwitterBlackout #InternetDown #InternetBlackout"
31,Tamuno_Jorge,2022-07-14 12:47:18+00:00,en,1,Twitter for Android,"Omo I don use all my VPN...
Download 10 new ones 
Thought my account was suspended
Only to realise Twitter had a blackout
#Twitterblackout

But una sure sey this blackout no get anything to do with Peter Obi audience and influence online...?

Just thinking out loud https://t.co/sOimzfAdo2"
32,LPSimcox,2022-07-14 12:44:34+00:00,en,0,Twitter for Android,We're back online! #TwitterBlackout
33,TeeDotYankee,2022-05-14 01:02:56+00:00,en,0,Twitter for iPhone,"The Bronx Globetrotters 

#Yankees 
#TwitterBlackout"
34,kkmcc25,2022-05-10 18:28:38+00:00,en,0,Twitter for iPhone,@elonmusk @Rogozin EM maxed out credits cards to be the voice of the galaxy to reinstate Trump to the platform &amp; covertly promote right wing extremism. Can’t wait til it backfires on an epic scale. #Twitterblackout needed.
35,21dreamz,2022-04-26 03:00:33+00:00,en,0,Twitter for iPhone,I think with Elon Musk buying Twitter Democrats and the Left is essentially on notice… can you quit? Will you quit…for 1 week? Especially the influencers… how about a #NextWeekNoTweet #SilentProtest starting Sunday May 1 #MayDay #TwitterBlackout 😷 Ends Sat May 7
36,crizteeneeta,2022-04-25 14:41:31+00:00,en,11,Twitter for iPhone,"There should be a #TwitterBlackOut day where everyone just stays off Twitter for a whole day. No likes, tweets, retweets or responses… just complete silence… #FuckElon"
37,linkd_not_rankd,2022-04-16 01:00:03+00:00,en,1,Twitter for iPhone,Ppl should all do a #twitterblackout
38,TeeDotYankee,2022-02-26 01:24:30+00:00,en,0,Twitter for iPhone,That fight was spoiled for me ssooooooooo #TwitterBlackout
39,BlueWaterDays,2022-02-20 04:12:24+00:00,en,0,Twitter Web App,"Which do you prefer?
#TwitterBlackout
#TwitterShutout
#NoTwitter
#TwitterBoycott
#TwitterOFF"
40,BlueWaterDays,2022-02-20 04:10:54+00:00,en,2,Twitter Web App,If I knew the exact day of TruthSocial launch that would be a good day for #TwitterBlackout
41,BlueWaterDays,2022-02-20 04:08:20+00:00,en,9,Twitter Web App,"We need to have a #TwitterBlackout
An agreed upon day or week we do not login.
Make #TwitterBlackout trend!"
42,NunyaBusiness46,2022-02-11 18:47:25+00:00,en,1,Twitter for iPhone,"@Sassychickie There wasa #TwitterBlackout ? 

*sigh* I miss all the good stuff !!"
43,LewdQote,2021-12-08 16:00:01+00:00,en,2,Twitter Web App,"@alxandria treating Angel to Day 6 of ""End""walker. Looks like a tasty moon treat. #MoonDay6 #TwitterBlackout #ffxivnsfw #ffxivlewd #FullMoon #GPOSERS https://t.co/XFlh7cFswq"
44,LewdQote,2021-12-03 04:28:59+00:00,en,2,Twitter Web App,"Good night twitter. I have the next few days scheduled with posts for your enjoyment, but I will not be checking you. #TwitterBlackout  See you all on the other side of the EW MSQ!  Love you all and looking forward to new lewds."
45,shanedmcdonald,2021-12-01 20:22:18+00:00,en,0,Twitter for Android,"A good day @jordanbpeterson not expecting you to respond or openly acknowledge I just wanted you to see this and if you think it's a good idea please make it happen. If not that's fine too. I respect the wisdom of my seniors. 

#TwitterBlackOut"
46,shanedmcdonald,2021-12-01 07:19:59+00:00,en,0,Twitter for Android,"Here's an idea. Let's plan a #TwitterBlackOut, on a specific day for a planned period of time we log off all at once. Imagine coordinating like that. Imagine them learning we can stop if we want for as long as we want and most of all proving that to ourselves."
47,DTHawkinsMusic,2021-11-29 16:44:55+00:00,en,0,Twitter for Android,The new #CEO of @Twitter is a far worse #Bigot &amp; #Racist than #JackDorsey ever could be.. Way to go twitter replace the former jackass with a huge pile of 💩.. See Ya . this platform is a joke. #LetsGoBrandon #FJB. #TwitterCEO #BigTechFascism #TwitterBlackout
48,tamitao2,2021-11-09 20:13:54+00:00,en,1,Twitter for Android,I support a #twitterblackout day. Where we all refuse to tweet because they allow #PaulGosar 's tweet of violence to stand. We need to choose a day and show we mean business. They blocked me for saying a nearly convicted murderer should hang. But not threats from #RepPaulGosar
49,tamitao2,2021-11-09 20:10:53+00:00,en,0,Twitter for Android,@Carol64653456 @DrGJackBrown I support a day off twitter. Let them know we won't stand for them allowing violent threats to stay up on twitter. A day of blackout has worked before. What do you think? Choose a day and I will do it. #twitterblackout
50,PCampbellBaylor,2021-11-01 13:29:56+00:00,en,1,Twitter for Android,Got on the elliptical to get some cardio and check the Twits for a few minutes. I looked up and 37 minutes had past.  #Twitter #Twitterblind #TwitterMissingTime #TwitterBlackout Though my amazing jams might have enabled. https://t.co/AfI1ElYc8k
51,TeeDotYankee,2021-09-29 00:35:42+00:00,en,0,Twitter for iPhone,Ok ok #TwitterBlackout time fuuuuuu
52,PinkFloydKitty,2021-09-24 19:17:03+00:00,en,0,Twitter for iPhone,"@stoolpresidente Hey Dave, why do you have a black cover? #TwitterBlackout ??? 🤔"
53,DontCallMeDebby,2021-09-20 18:55:02+00:00,en,1,Twitter Web App,Apologizing in advance if I tweet the same thing 36 times.  #twitterblackout
54,VickiStraight,2021-08-30 21:23:59+00:00,en,0,Twitter for iPhone,"6:00-6:15 PST Twitter blackout for me here in CA. Prayer for those in Afghanistan who were left behind. 💔
#TwitterBlackout"
55,slmetheny,2021-08-23 14:57:55+00:00,en,0,Twitter for Android,"I noticed this tweet was A / I generated.

Thanks.

Or

I had my first #TwitterBlackOut

Sorry.

."
56,Matt_Fleming321,2021-08-07 22:53:05+00:00,en,3,Twitter for Android,"Save lives.
#TwitterBlackout https://t.co/YkOkeAFGjb"
57,cghueyf83,2021-07-12 08:40:46+00:00,en,0,Twitter for Android,@DJSpoony Only way social media will learn is by hitting them where it hurts in the pocket... it's the ONLY language they understand #twitterblackout
58,Jared_Hatch,2021-06-23 05:39:00+00:00,en,0,TweetDeck,"The Indian government needs Twitter to spread coordinated misinformation campaigns. And Twitter needs the people of India to grow its business. What happens now? 
https://t.co/Ik88X6hRWj #internetfreedom #twittershutdown #democracy #FreedomofSpeech #twitterblackout #India #Delhi"
59,Kiranmkhule1,2021-06-05 19:37:07+00:00,en,0,Twitter for Android,"They are posting blackout photos on Twitter and Instagram for solidarity and safety. The hashtag #blackout or #twitterblackout and a black square in place of a profile photo are often accompanied by the hashtags ,ImStillWithHer and other variations of these sentiments."
