,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,thenutgarden,2022-11-26 23:25:50+00:00,0,Twitter Web App,“Oh this is sooo good!”We hear this almost daily from customers sampling our nut butters!!At our lil shop or online in cute gifty #nutgutz jars at https://t.co/FPhNBHhjQK❤️#nutbutter #chocolatepeanutbutter #bestnutbutter #utahgifts #uniquegifts #utahsmallbusiness #welcomeelonmusk https://t.co/9ZLfl3M7Fm
1,slowgin14,2022-10-29 20:00:39+00:00,0,Twitter Web App,National Internet Day – October 29 https://t.co/taonIliFbu via @natltoday #WelcomeElonMusk #FirstAmendment
2,Karena7602,2022-10-29 19:13:19+00:00,0,Twitter for Android,"@elonmusk 🙌🙌🙌🙌🙌 Happy a sane person will be running the show here. Not a bunch of ""bleeding heart left nut jobs"". Keep them on though, at least we will have the right to debate them or be a part of their cancel culture B.S. #welcomeelonmusk #MakeTwitterGreatAgain"
3,Pharos_Project,2022-10-29 15:46:15+00:00,0,Twitter Web App,"Men = XY, women = XX.
Ivermectin works against the Wu-flu.
Complete forensic audit needed.
Biden is incompetent and must be removed.
Censorship is an act of hate and fear.

#WelcomeElonMusk #TruthAlwaysTriumphs @Twitter"
4,luisf_2727,2022-10-29 01:08:29+00:00,0,Twitter for Android,"WELCOME ELON MUSK, FROM COLOMBIAN LIBERALISM  AND LIBERTARIANISM AND FOR FREE SPEECH BACK #WelcomeElonMusk"
5,RogerMi30619375,2022-10-28 10:45:37+00:00,0,Twitter for iPhone,I am looking forward to Twitter becoming what I thought it was when I first joined.  #WelcomeElonMusk
6,Mark46975285,2022-10-28 10:43:47+00:00,0,Twitter for iPhone,#WelcomeElonMusk so happy for everyone!!! Let freedom ring!!!
7,radhika05035218,2022-10-28 09:00:57+00:00,3,Twitter Web App,"#ELONMUSK It's time to welcome Elon Musk to the tweeter. Elon Musk bought tweeter and then he fired tweeter CEO,Parag Agrawal #getout #CEO #tweetertakeover #ParagAgrawal #welcomeElonmusk 👍 https://t.co/TCWMPFz9hp"
8,BhuNgawang1,2022-10-28 06:54:14+00:00,0,Twitter for Android,"Good news for all the Twitter handlers, Elon Must bought Twitter and is now giving each of them a brand new Tesla. #welcomeElonMusk"
9,clark_sorenson,2022-10-28 02:22:25+00:00,0,Twitter for iPhone,"Welcome @elonmusk   Step 1. Paint   Start with a fresh look!
#welcomeelonmusk"
10,Betty71958,2022-10-28 01:56:16+00:00,1,Twitter for Android,"Thanks, Elon! I am back on Twitter. I canceled my long time account when Twitter was canceling conservatives. #ElonMusk #WelcomeElonMusk #TwitterTakeover  #TwitterImBack"
11,UnwokeWho,2022-10-27 00:40:01+00:00,2,Twitter for iPhone,"I, for one, believe we should all get behind our new Muskian overlord! #WelcomeElonMusk"
12,KISH_KISH_KISH_,2022-10-27 00:33:59+00:00,0,Twitter Web App,@FredBrooklynOG That works for me. Should run even better on Friday. #WelcomeElonMusk
13,MiguelJaquezT,2022-05-20 15:00:06+00:00,0,Twitter for Android,"#WelcomeElonMusk 
Welcome to the party of sexual predators"
14,llsamichele1968,2022-05-19 01:43:43+00:00,2,Twitter for iPhone,"@elonmusk WELCOME to the Republican side of Common Sense and Truth.   We are happy to have you 🥳. I know you will make a positive impact with your words of wisdom 
#WelcomeElonMusk"
15,RichardHoller12,2022-04-27 15:52:38+00:00,0,Twitter for iPhone,Republicans are as much entitled to free speech as Republicans are Americans too!!  Maybe liberals are too stupid to figure that out? #stupidliberals #BidenOneTerm #worldwarthreeBiden #lyingDemocrats #welcomeElonMusk #FoxNews #AmericaFirst @FoxNews
16,TellahAsa,2022-04-27 10:39:03+00:00,11,Twitter Web App,"These are the same kinds of warped kids who later go on to complain about the death threats they get.

If each and every one of these kids leaves twitter, it will have already become a better place.
#RIPTwitter 
 #welcomeElonMusk"
17,VintageShe,2022-04-26 19:04:22+00:00,0,Twitter for iPhone,Let’s welcome our new owner properly. Welcome @elonmusk I’m gonna need $500k for my intellectually property. Cut the Check #cashapp me $Vintageshe #ElonMusk #BuyingTwitter #cutthecheck #WelcomeElonMusk
18,JessopJosie,2022-04-26 18:04:49+00:00,1,Twitter for Android,"@hellen3030 @elonmusk 🎻 , means they can't get away with their vile death threats towards the royal family. Debate is good, death threats and picking on kids is totally unacceptable.  #WelcomeElonMusk"
19,Beaschler,2022-04-26 16:18:54+00:00,0,Twitter for iPhone,Goodbye LEFT 👋🏼 #WelcomeElonMusk
20,imchiragpatel7,2022-04-26 12:34:00+00:00,3,Twitter for Android,"When elon went for shopping and came back with acquirement of twitter. 

#ElonMuskBuyTwitter 
#WelcomeElonMusk https://t.co/OFhDq7z6Qm"
