,User,Date Created,Number of Likes,Source of Tweet,Tweet
0,ragingcrypto,2022-12-01 01:43:49+00:00,0,Twitter Web App,"@judgeyourself99 I am loving this, this is too effin funny, I think mike is ok with the jokes. I am high as a kite on some Kalifa script goods, hahaha... #crackhead 😜

I love #twitter Proud #TwitterBlue #iSupportMusk I love all of you #twitter people, the bots too #FreeSpeech #thankyouelonmusk https://t.co/s1yhD6wmll"
1,steveMmattison,2022-12-01 00:38:16+00:00,0,Twitter Web App,"@neuralink Not that I want it gone/controlled in my head, but what could Neuralink do for Tourette Syndrome? Severe cases debitate lives &amp; cause massive stress &amp; discomfort. ty. #thankyouelonmusk"
2,AmbroseBacchus,2022-12-01 00:13:50+00:00,0,Twitter Web App,"@FinancialTimes If the richest and most powerful people in the world have their panties in a bunch, it's because they're afraid of being exposed for the frauds they all are. #janetyellen #federalreserve #panties #bunch #richpeople #1percent #banks #elonmusktwitter #thankyouelonmusk"
3,ChaseWalling,2022-11-30 23:19:25+00:00,0,Twitter for iPhone,Being able to speak freely on this platform now is phenomenal. Seeing all the lefts responses to Elons tweets are even more phenomenal 😂 #thankyouelonmusk
4,baha_mike,2022-11-30 22:07:18+00:00,0,Twitter for Android,"#thankyouelonmusk @elonmusk for choosing to take a stand for individual autonomy. Your actions will ring through all of our time in the universe, so please continue to benefit the world for the advancement of joy, freedom, and Greatness!"
5,kimberlydawn719,2022-11-30 21:52:52+00:00,0,Twitter for iPhone,"To all the celebrities claiming to leave Twitter because of @elonmusk I say, good riddance. It was ok when just your side could speak. Now that the playing field is becoming even, you wanna cry about it. It must really suck to be you! #ThankYouElonMusk"
6,mmamasaidd,2022-11-30 21:11:41+00:00,0,Twitter Web App,I agree! This is why I want to say #ThankYouElonMusk!
7,mmamasaidd,2022-11-30 21:11:20+00:00,0,Twitter Web App,@Breaking911 I agree! This is why I want to say #ThankYouElonMusk!
8,wildwitchca,2022-11-30 20:48:34+00:00,0,TweetDeck Web App,"So which corporations support #ChildExploitation? Obviously the ones that are against #Twitter trying to protect #children! #thankyouelonmusk 

https://t.co/iyqh3O0CET"
9,TdePlorable17,2022-11-30 20:14:16+00:00,0,Twitter for iPhone,#ThankYouElonMusk @elonmusk the people around the world support you. ❤️
